target,vehicle_age,vehicle_value,vehicle_power,ph_age,licence_years,licence_points,ph_owns_home,annual_mileage
2279.692530996692,1,8293,68,42,10,0,1,12000
2000.0642977503178,6,7087,51,45,15,3,0,8000
2012.707571136109,0,9045,60,61,24,0,0,1000
2763.5972471591754,3,10805,98,48,17,3,0,10000
2096.998879224903,4,12447,82,62,20,0,1,11000
2150.7716634030307,0,10509,81,51,16,0,1,6000
3996.176402116748,0,10993,100,36,13,3,0,2000
2913.494211050158,6,6851,61,41,14,0,0,8000
2460.459161545247,4,13355,96,58,19,3,1,8000
3508.1578495742606,3,9821,97,50,16,0,1,11000
3118.794692291844,1,11345,93,51,17,0,1,11000
2868.463222330521,6,7850,74,48,16,0,0,12000
2925.670226546767,5,7084,108,42,15,0,0,6000
3329.7766693916647,1,8875,87,52,15,0,1,4000
3338.9631169498402,2,12041,105,30,12,0,0,11000
3316.5199560620517,0,10301,86,38,8,3,1,7000
3748.6444466112875,2,15920,87,41,13,3,0,1000
3218.143136011833,2,9431,76,33,11,0,0,10000
2336.4462730085907,5,6967,59,54,15,0,1,9000
3470.9971331466836,4,8012,79,49,17,0,0,8000
3213.7000434273323,4,10074,87,37,9,0,1,3000
4691.8617944056905,3,11192,83,51,14,3,1,11000
2700.7128074060483,0,10334,73,45,14,3,0,5000
2954.8713993009983,2,10213,84,55,17,3,1,9000
2638.388600732969,6,9786,87,54,17,0,1,11000
1898.7812257745284,0,9387,74,53,18,0,1,10000
2626.087946903991,4,12171,93,52,18,3,0,5000
2278.8651785935526,2,14257,104,45,20,0,0,6000
4193.1820656557475,2,12885,114,44,14,0,1,12000
3764.1818228738352,2,19791,105,41,15,0,0,2000
2630.4635318698693,3,8920,76,45,16,0,0,5000
2874.173199465988,0,13264,79,36,11,0,0,7000
1809.428135185051,0,10968,101,66,22,0,1,3000
2474.573390538534,0,10244,82,58,17,0,1,5000
3894.8021961479003,1,10938,85,43,13,0,1,8000
2407.447493129676,10,8318,78,54,15,0,1,6000
3277.634085753824,0,8725,91,46,15,3,1,10000
2876.0722191702803,3,10624,101,49,18,0,0,1000
2020.8869959678948,4,7947,69,47,18,0,0,7000
3539.2459045934356,3,15777,115,47,14,0,1,9000
3132.1453343896774,1,8505,59,34,8,0,0,2000
2226.5434397969466,4,9782,83,48,20,3,0,9000
2911.766304829509,2,10660,95,49,14,0,1,5000
3246.5614316832693,1,10750,88,43,13,0,1,8000
3505.922293528243,2,8197,116,44,14,0,0,5000
3173.058776550034,3,10091,91,38,11,0,1,8000
4357.0001086581915,2,15926,91,38,13,3,0,9000
3178.8392929251754,1,11219,101,50,15,0,1,3000
2860.9171432482904,6,7734,90,48,17,3,1,13000
2188.2847357310516,4,9412,95,55,18,3,NA,13000
1462.5918192041422,2,11325,70,65,23,0,1,7000
3750.44660582501,3,12960,89,43,11,6,1,8000
4320.615505554282,1,11102,83,27,6,0,0,5000
2139.4304317506926,3,12370,80,56,18,0,1,5000
3941.654046557468,7,11104,104,45,14,0,1,6000
4343.256738361227,2,11208,103,37,8,0,1,10000
3785.532414100591,8,9562,115,46,12,0,1,6000
5763.894479094387,3,15423,150,47,15,0,1,9000
3458.438206455587,1,13152,78,44,10,0,1,11000
2808.647494379733,2,11572,100,53,19,3,0,10000
2414.513064213291,4,9776,98,45,15,0,0,4000
2925.6515573057172,4,9024,54,50,14,0,1,6000
3324.3738551925353,2,10496,101,57,16,3,1,6000
4196.091400007445,1,13151,82,51,14,3,1,7000
3290.2509109244097,4,8466,89,44,13,3,1,9000
2284.4635911108167,2,10295,76,57,21,0,0,6000
2308.4461422099357,4,11212,67,56,19,0,1,11000
2931.927449924504,3,7940,77,52,15,0,1,5000
2971.9387030222438,3,11245,90,49,18,0,0,11000
2362.9940510794586,1,9649,67,42,10,0,1,9000
3362.1152427130532,5,12451,80,42,13,0,1,9000
1843.28829294129,4,10952,83,66,25,6,1,12000
2300.588734420367,3,13418,91,61,18,0,1,13000
4143.679609948712,4,15017,112,45,14,0,0,2000
2867.219177072687,9,8777,97,38,11,0,0,4000
3763.2364858683563,1,17189,125,49,14,0,1,9000
2834.6017706894045,3,10938,88,45,12,0,1,11000
4615.914924960967,1,11770,114,44,12,3,1,10000
3157.442633776034,6,12729,136,39,16,0,0,4000
2731.162902260172,6,11926,117,47,15,3,0,4000
2459.998695401501,8,7897,76,40,15,6,0,5000
3580.815143340675,0,10003,104,42,13,3,0,5000
2916.2773375174297,4,9980,68,52,17,0,1,6000
2841.7577831504595,4,10377,83,47,13,3,1,8000
2884.6762522380645,2,10796,113,52,18,3,1,3000
2088.465021877459,2,9799,93,50,20,0,0,5000
2548.730653431021,6,12198,102,48,15,0,1,4000
3079.381400739498,4,8661,87,40,13,0,0,7000
2687.859028003812,1,9342,86,48,16,0,0,2000
3362.0140112521317,6,11331,81,39,12,0,0,5000
3857.2753001429214,0,10567,91,43,12,0,1,6000
3030.923111065541,5,13587,80,45,14,0,1,5000
2566.6033700845596,4,12992,110,63,23,0,1,12000
3562.3336626129762,3,10418,97,42,14,3,0,4000
2681.828555551658,2,10172,83,49,17,0,0,4000
2782.0077714756108,1,8822,71,48,15,0,0,8000
3418.9097345740106,1,18641,107,47,11,0,1,4000
1999.457062851482,9,6305,61,60,20,0,1,12000
4056.0180693466837,1,14056,99,51,14,3,1,7000
3656.9412230822004,4,16951,117,48,14,0,1,5000
3642.3814287126434,1,12598,79,29,11,0,0,10000
3437.8346144538914,3,16153,106,34,9,0,1,11000
1831.1594754287169,6,9960,101,54,20,3,0,6000
2028.8149162017332,3,12581,88,64,23,6,1,12000
3055.338616801147,4,11962,93,45,16,0,0,8000
3067.0924339224457,5,7281,74,34,9,0,0,2000
5115.188034376133,7,17077,107,34,9,0,1,9000
3834.93737724128,1,15145,72,33,9,3,0,8000
3411.1404510219345,9,7685,81,43,11,0,1,11000
2900.907693995419,0,8840,100,53,15,0,1,12000
2535.003167342767,0,16955,116,65,24,0,1,12000
3949.4469222062917,10,7986,81,36,9,0,1,8000
3051.967607863779,7,NA,84,54,17,3,1,13000
1982.1045354484015,2,11300,72,54,19,0,1,9000
2730.862899038057,0,9667,74,50,17,0,0,4000
3238.8497203699744,1,11829,98,38,8,0,1,4000
3268.62910764717,8,7169,59,45,15,0,1,5000
2430.840502720303,2,13220,88,52,19,0,0,8000
2994.2331649029334,3,7869,67,44,12,0,1,6000
2342.3505544738814,1,14245,78,56,17,0,1,12000
3231.457013564721,1,11304,65,44,13,0,1,6000
2855.39195970836,6,11319,113,56,20,0,1,5000
2726.850654311978,3,9028,86,38,9,0,1,4000
2992.296190634318,13,4300,96,36,10,0,0,5000
2462.4739882761733,3,8502,91,75,27,0,1,12000
3654.7507385111885,4,7051,81,43,13,0,1,6000
2770.4510052433625,2,15166,93,52,16,0,1,9000
1804.8748638926586,2,9889,72,66,20,3,1,7000
2878.72753130363,1,8206,71,38,10,0,0,8000
4033.2161408593483,5,7934,84,48,14,0,1,13000
2215.3898267977893,4,10347,78,50,18,0,0,1000
3448.5960584092895,2,8285,71,40,13,0,0,9000
2583.296501752121,0,9229,53,45,14,0,1,4000
2350.584163562566,0,9722,106,57,19,0,1,4000
2778.3743560131547,2,10559,76,48,14,0,1,5000
4011.675247550922,10,7328,80,54,14,3,1,12000
3753.798957420165,8,7711,70,43,12,0,1,14000
2821.6076854362827,2,16218,79,49,17,0,0,10000
2598.831922158223,2,10010,100,48,18,6,0,6000
3148.4858642212803,5,8741,75,39,14,0,0,9000
3535.508432977391,2,8735,95,36,10,0,1,10000
4313.127710752188,11,8983,112,36,13,0,0,12000
3506.982464160742,7,7043,67,42,12,0,1,11000
4242.393898319722,1,11509,110,45,15,0,1,12000
3076.4185862274167,5,8896,62,52,16,0,1,13000
2991.3721677653166,4,8703,96,44,11,0,1,9000
3639.6905614248935,0,16072,106,43,13,3,1,12000
2566.6358002787338,3,8403,85,42,13,0,0,8000
2849.904104776561,3,12500,97,62,20,0,1,10000
3425.475837530528,4,10577,122,47,14,0,0,5000
3092.963925333722,3,13187,91,48,17,0,0,9000
2460.9171977482215,1,10363,81,58,19,0,1,7000
4553.861044296728,2,15607,101,43,14,0,0,2000
2842.039073359433,6,10951,77,39,10,0,0,2000
2064.1056770141795,7,6976,79,62,20,3,1,13000
3330.771743779305,2,10624,79,41,14,0,0,6000
3672.2853463097586,2,13005,87,36,12,3,0,3000
3481.605890340805,6,7377,104,36,11,3,0,10000
3352.393629432308,6,8920,102,42,14,0,0,5000
2974.0602774903496,4,7249,77,53,14,0,1,9000
3638.087680057375,3,8617,115,44,16,0,0,1000
2535.099289634173,6,8367,79,48,17,0,1,13000
3068.098947146556,4,13111,118,41,13,0,0,3000
2759.411039678288,1,11391,85,41,16,0,0,4000
2352.5178232102094,5,7224,92,55,17,0,1,6000
1554.5233012545707,6,6569,57,64,23,0,1,5000
2353.1228342031654,0,13221,83,46,19,0,0,6000
2546.702809915406,0,15093,83,49,18,0,0,9000
2771.225461665871,4,9499,63,41,14,0,0,2000
2611.6521172775165,2,9927,64,42,14,0,0,10000
2782.4340638753674,6,7256,68,36,12,0,0,10000
3247.1243720012476,9,10539,84,46,16,0,0,9000
2020.8936911306,1,10635,77,51,18,3,0,7000
2966.980867921226,2,8538,69,40,16,0,0,4000
2398.671801240627,12,4348,80,43,13,0,1,10000
2849.966317134447,0,11126,63,46,13,0,1,9000
3103.9783266263466,3,8671,76,35,13,3,0,1000
2927.095128756171,1,14254,94,41,14,3,0,9000
2094.9567478113795,15,5278,66,44,16,0,0,7000
4208.7332729397995,5,9028,116,42,14,0,0,8000
2798.023014089815,4,8506,85,44,15,0,0,8000
3058.0905844948334,0,14549,113,61,19,0,1,3000
2613.7199726886624,2,8064,79,46,15,3,0,10000
3013.907394478428,1,10372,79,57,14,0,1,8000
3061.795620265049,3,13001,107,53,16,0,1,6000
2987.096047847318,3,13541,106,46,16,0,0,3000
4459.45061812864,0,11587,124,34,12,3,0,7000
2824.3271959150647,4,7272,81,43,15,3,0,10000
3438.66908101284,5,10110,109,43,14,3,0,8000
4226.726305644707,5,20746,133,48,17,0,0,10000
3176.351410753903,1,14499,99,58,17,3,1,4000
1448.3289673370168,3,11271,65,67,21,0,1,3000
2981.8764890147777,4,13834,71,46,15,0,0,10000
3619.0398894318128,2,13232,73,32,10,0,0,4000
2104.5665449654844,0,14234,72,56,22,0,0,9000
2942.6782515914088,1,11715,92,53,15,0,1,11000
2825.1453276624775,0,10296,59,35,11,0,0,6000
2726.8230981747242,9,6187,87,55,17,3,1,12000
2045.6132606725826,2,14652,96,43,16,3,0,9000
2378.1573782020023,7,8742,83,49,17,3,0,4000
2783.204779779574,1,12531,93,48,18,0,0,3000
4094.245360676377,2,11049,66,51,14,0,1,9000
2969.769508917383,4,9598,81,47,15,0,0,4000
3695.281543672242,3,9799,82,33,13,3,0,4000
2346.398947486089,5,9724,78,54,16,0,1,5000
3174.710234260272,1,9824,84,51,14,0,1,12000
3389.589843354092,3,10965,87,48,14,0,1,4000
2975.0463832868168,6,18794,111,48,17,0,0,8000
1963.7025096483592,2,9079,63,61,20,0,1,8000
2505.2254452071056,2,9312,73,49,16,0,0,5000
1828.5134588956198,3,9645,68,57,20,0,0,1000
2411.4439144820653,3,10945,66,56,16,0,1,11000
2043.5149097593824,3,11554,91,65,22,3,1,7000
3030.1703140894415,4,12036,91,48,16,3,0,4000
2476.36799290732,5,12941,104,63,19,3,1,9000
3534.5828147280613,5,8250,88,35,10,0,0,4000
2046.150507593788,2,10364,79,58,19,3,1,6000
3074.680095399912,0,11392,81,41,12,3,0,8000
2831.0250773333996,2,12736,90,41,15,0,0,1000
3135.1422638251697,3,12410,67,39,13,3,0,9000
3968.966098066032,4,8715,70,38,11,3,0,10000
2473.7172088038924,6,10696,73,50,13,0,1,5000
3192.880684879811,2,9418,78,30,9,0,0,5000
5697.604693854858,0,11625,156,49,20,0,0,3000
1861.3470361373124,2,8982,71,58,19,0,1,6000
1992.2843543201386,8,7212,71,65,21,0,1,6000
2145.3165226132974,3,8425,68,54,19,0,0,9000
2563.6654935391,5,7678,83,32,12,3,0,6000
1875.2441948109365,3,11533,86,53,19,3,1,10000
2672.045323534898,0,10810,72,46,13,3,1,5000
2437.63434780573,0,10204,100,58,22,0,0,6000
3825.667686515207,0,11306,70,36,11,0,0,1000
2592.1798449198936,5,9471,90,53,16,3,1,7000
2798.2734682536225,3,8118,80,53,15,0,1,5000
3911.526399801929,1,13823,89,47,11,3,1,9000
2883.5812975847625,2,10094,96,53,16,0,1,8000
1910.782122716326,1,10098,73,59,18,0,1,11000
1976.6270483608098,1,11335,72,47,18,6,0,4000
2977.8305552003026,0,11003,68,41,12,0,1,8000
2292.38211714811,4,10792,94,60,21,3,1,13000
4580.531770486498,1,12493,100,29,7,0,0,10000
3647.3415436439227,1,11469,102,35,10,0,1,4000
4013.1382231967177,3,8043,70,45,14,0,1,11000
2536.5221854423376,7,9974,81,55,16,0,1,5000
1965.02015973208,4,9029,58,46,15,3,0,4000
2078.1511675268234,5,9730,78,53,16,0,1,5000
